DrugBank_ID,PubChem_CID,SMILES
DB00862,135400189.0,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C
DB00966,65999.0,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C
DB00575,2803.0,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
DB00806,4740.0,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
DB01242,2801.0,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
DB08893,9865528.0,C1=CC=C(C=C1)C(CNCCC2=CC=C(C=C2)NC(=O)CC3=CSC(=N3)N)O
DB01151,2995.0,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31
DB08883,9924495.0,C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4
DB01235,6047.0,C1=CC(=C(C=C1CC(C(=O)O)N)O)O
DB01275,3637.0,C1=CC=C2C(=C1)C=NN=C2NN
DB00333,4095.0,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
DB00201,2519.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
DB01609,214348.0,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O
DB00712,3394.0,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
DB01418,54676537.0,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O
DB01576,5826.0,CC(CC1=CC=CC=C1)N
DB04842,3396.0,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
DB06212,443894.0,CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCCC(C4=C3C=CC(=C4)Cl)O)C
DB01232,441243.0,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O
